Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Idade,15-19,IE,Ireland,2024,17.5,3,2,Fim,982,17.5
Idade,15-19,IT,Italy,2024,26.8,3,2,Inicio,980,23.1
Idade,15-19,IT,Italy,2024,26.8,3,2,Fim,982,26.8
Idade,15-19,LT,Lithuania,2024,29.5,3,2,Inicio,980,25.8
Idade,15-19,LT,Lithuania,2024,29.5,3,2,Fim,982,29.5
Idade,15-19,LU,Luxembourg,2024,38.3,3,2,Inicio,980,20
Idade,15-19,LU,Luxembourg,2024,38.3,3,2,Fim,982,38.3
Idade,15-19,LV,Latvia,2024,21.6,3,2,Inicio,980,24.3
Idade,15-19,LV,Latvia,2024,21.6,3,2,Fim,982,21.6
Idade,15-19,MT,Malta,2024,21.7,3,2,Inicio,980,19.7
Idade,15-19,MT,Malta,2024,21.7,3,2,Fim,982,21.7
Idade,15-19,NL,Netherlands,2024,17.3,3,2,Inicio,980,15.4
Idade,15-19,NL,Netherlands,2024,17.3,3,2,Fim,982,17.3
Idade,15-19,NO,Norway,2024,22.5,3,2,Inicio,980,15.7
Idade,15-19,NO,Norway,2024,22.5,3,2,Fim,982,22.5
Idade,15-19,PL,Poland,2024,19.2,3,2,Inicio,980,16
Idade,15-19,PL,Poland,2024,19.2,3,2,Fim,982,19.2
Idade,15-19,PT,Portugal,2024,23.3,3,2,Inicio,980,19.7
Idade,15-19,PT,Portugal,2024,23.3,3,2,Fim,982,23.3
Idade,15-19,RO,Romania,2024,35.4,3,2,Inicio,980,27.9
Idade,15-19,RO,Romania,2024,35.4,3,2,Fim,982,35.4
Idade,15-19,RS,Serbia,2024,30.2,3,2,Inicio,980,24.3
Idade,15-19,RS,Serbia,2024,30.2,3,2,Fim,982,30.2
Idade,15-19,SE,Sweden,2024,23.3,3,2,Inicio,980,17.5
Idade,15-19,SE,Sweden,2024,23.3,3,2,Fim,982,23.3
Idade,15-19,SI,Slovenia,2024,12.4,3,2,Inicio,980,14.4
Idade,15-19,SI,Slovenia,2024,12.4,3,2,Fim,982,12.4
Idade,15-19,SK,Slovakia,2024,23.1,3,2,Inicio,980,18.3
Idade,15-19,SK,Slovakia,2024,23.1,3,2,Fim,982,23.1
Idade,15-19,TR,Türkiye,2024,37.9,3,2,Inicio,980,30.4
Idade,15-19,TR,Türkiye,2024,37.9,3,2,Fim,982,37.9
Idade,20-24,AT,Austria,2024,19.4,3,3,Inicio,977,16.9
Idade,20-24,AT,Austria,2024,19.4,3,3,Fim,979,19.4
Idade,20-24,BE,Belgium,2024,19.9,3,3,Inicio,977,18.2
Idade,20-24,BE,Belgium,2024,19.9,3,3,Fim,979,19.9
Idade,20-24,BG,Bulgaria,2024,29.8,3,3,Inicio,977,30.3
Idade,20-24,BG,Bulgaria,2024,29.8,3,3,Fim,979,29.8
Idade,20-24,CY,Cyprus,2024,11.9,3,3,Inicio,977,17.1
Idade,20-24,CY,Cyprus,2024,11.9,3,3,Fim,979,11.9
Idade,20-24,CZ,Czechia,2024,15.1,3,3,Inicio,977,11.3
Idade,20-24,CZ,Czechia,2024,15.1,3,3,Fim,979,15.1
Idade,20-24,DE,Germany,2024,31.4,3,3,Inicio,977,21.1
Idade,20-24,DE,Germany,2024,31.4,3,3,Fim,979,31.4
Idade,20-24,DK,Denmark,2024,43.3,3,3,Inicio,977,18
Idade,20-24,DK,Denmark,2024,43.3,3,3,Fim,979,43.3
Idade,20-24,EE,Estonia,2024,21.2,3,3,Inicio,977,22.2
Idade,20-24,EE,Estonia,2024,21.2,3,3,Fim,979,21.2
Idade,20-24,EL,Greece,2024,33.7,3,3,Inicio,977,26.9
Idade,20-24,EL,Greece,2024,33.7,3,3,Fim,979,33.7
Idade,20-24,ES,Spain,2024,25.5,3,3,Inicio,977,25.8
Idade,20-24,ES,Spain,2024,25.5,3,3,Fim,979,25.5
Idade,20-24,FI,Finland,2024,39.2,3,3,Inicio,977,16.8
Idade,20-24,FI,Finland,2024,39.2,3,3,Fim,979,39.2
Idade,20-24,FR,France,2024,25.5,3,3,Inicio,977,20.5
