Data,COICOP,Valor
2009-05-15,Serviços Postais,71.29
2009-06-15,Total,92.38
2009-06-15,Serviços Postais,71.29
2009-07-15,Total,92.03
2009-07-15,Serviços Postais,71.29
2009-08-15,Total,91.84
2009-08-15,Serviços Postais,71.29
2009-09-15,Total,91.77
2009-09-15,Serviços Postais,71.29
2009-10-15,Total,91.78
2009-10-15,Serviços Postais,71.29
2009-11-15,Total,91.92
2009-11-15,Serviços Postais,71.29
2009-12-15,Total,92.08
2009-12-15,Serviços Postais,71.29
2010-01-15,Total,91.5
2010-01-15,Serviços Postais,71.29
2010-02-15,Total,91.55
2010-02-15,Serviços Postais,71.29
2010-03-15,Total,92.67
2010-03-15,Serviços Postais,71.29
2010-04-15,Total,93.06
2010-04-15,Serviços Postais,71.29
2010-05-15,Total,93.23
2010-05-15,Serviços Postais,71.29
2010-06-15,Total,93.43
2010-06-15,Serviços Postais,71.29
2010-07-15,Total,93.79
2010-07-15,Serviços Postais,71.29
2010-08-15,Total,93.66
2010-08-15,Serviços Postais,71.29
2010-09-15,Total,93.58
2010-09-15,Serviços Postais,71.29
2010-10-15,Total,93.91
2010-10-15,Serviços Postais,71.29
2010-11-15,Total,93.98
2010-11-15,Serviços Postais,71.29
2010-12-15,Total,94.33
2010-12-15,Serviços Postais,71.29
2011-01-15,Total,94.79
2011-01-15,Serviços Postais,71.29
2011-02-15,Total,94.74
2011-02-15,Serviços Postais,71.29
2011-03-15,Total,96.27
2011-03-15,Serviços Postais,71.29
2011-04-15,Total,96.8
2011-04-15,Serviços Postais,71.29
2011-05-15,Total,96.7
2011-05-15,Serviços Postais,71.29
2011-06-15,Total,96.52
2011-06-15,Serviços Postais,71.29
2011-07-15,Total,96.64
2011-07-15,Serviços Postais,71.29
2011-08-15,Total,96.25
2011-08-15,Serviços Postais,71.29
2011-09-15,Total,96.83
2011-09-15,Serviços Postais,71.29
2011-10-15,Total,97.71
2011-10-15,Serviços Postais,71.29
2011-11-15,Total,97.57
2011-11-15,Serviços Postais,71.29
2011-12-15,Total,97.63
2011-12-15,Serviços Postais,71.29
2012-01-15,Total,97.96
2012-01-15,Serviços Postais,71.29
2012-02-15,Total,98.1
2012-02-15,Serviços Postais,71.29
2012-03-15,Total,99.29
2012-03-15,Serviços Postais,71.29
2012-04-15,Total,99.63
2012-04-15,Serviços Postais,71.29
2012-05-15,Total,99.32
2012-05-15,Serviços Postais,71.29
2012-06-15,Total,99.14
2012-06-15,Serviços Postais,71.29
2012-07-15,Total,99.33
2012-07-15,Serviços Postais,71.29
2012-08-15,Total,99.27
2012-08-15,Serviços Postais,71.29
2012-09-15,Total,99.66
2012-09-15,Serviços Postais,71.29
2012-10-15,Total,99.8
2012-10-15,Serviços Postais,71.29
2012-11-15,Total,99.44
2012-11-15,Serviços Postais,71.29
2012-12-15,Total,99.67
2012-12-15,Serviços Postais,71.29
2013-01-15,Total,98.4
2013-01-15,Serviços Postais,71.29
2013-02-15,Total,98.29
2013-02-15,Serviços Postais,71.29
2013-03-15,Total,99.96
2013-03-15,Serviços Postais,71.29
2013-04-15,Total,100.02
2013-04-15,Serviços Postais,80.2
2013-05-15,Total,100.26
2013-05-15,Serviços Postais,80.2
2013-06-15,Total,100.31
2013-06-15,Serviços Postais,80.2
2013-07-15,Total,100.12
2013-07-15,Serviços Postais,80.2
2013-08-15,Total,99.43
2013-08-15,Serviços Postais,80.2
2013-09-15,Total,99.93
2013-09-15,Serviços Postais,80.2
2013-10-15,Total,99.8
2013-10-15,Serviços Postais,80.2
2013-11-15,Total,99.49
2013-11-15,Serviços Postais,89.11
2013-12-15,Total,99.84
2013-12-15,Serviços Postais,89.11
2014-01-15,Total,98.45
2014-01-15,Serviços Postais,89.11
2014-02-15,Total,98.2
2014-02-15,Serviços Postais,89.11
2014-03-15,Total,99.57
2014-03-15,Serviços Postais,89.11
2014-04-15,Total,99.91
2014-04-15,Serviços Postais,93.56
2014-05-15,Total,99.98
2014-05-15,Serviços Postais,93.56
2014-06-15,Total,100.06
2014-06-15,Serviços Postais,93.56
2014-07-15,Total,99.44
2014-07-15,Serviços Postais,93.56
2014-08-15,Total,99.37
2014-08-15,Serviços Postais,93.56
2014-09-15,Total,99.89
2014-09-15,Serviços Postais,93.56
2014-10-15,Total,99.93
2014-10-15,Serviços Postais,93.56
2014-11-15,Total,99.57
2014-11-15,Serviços Postais,93.56
2014-12-15,Total,99.57
2014-12-15,Serviços Postais,93.56
2015-01-15,Total,98.09
2015-01-15,Serviços Postais,93.56
2015-02-15,Total,98.11
2015-02-15,Serviços Postais,93.56
2015-03-15,Total,100.01
2015-03-15,Serviços Postais,101.29
2015-04-15,Total,100.4
2015-04-15,Serviços Postais,101.29
2015-05-15,Total,100.93
2015-05-15,Serviços Postais,101.29
2015-06-15,Total,100.82
2015-06-15,Serviços Postais,101.29
2015-07-15,Total,100.15
2015-07-15,Serviços Postais,101.29
2015-08-15,Total,100.03
2015-08-15,Serviços Postais,101.29
2015-09-15,Total,100.78
2015-09-15,Serviços Postais,101.29
2015-10-15,Total,100.63
2015-10-15,Serviços Postais,101.29
2015-11-15,Total,100.19
2015-11-15,Serviços Postais,101.29
2015-12-15,Total,99.86
2015-12-15,Serviços Postais,101.29
2016-01-15,Total,98.78
2016-01-15,Serviços Postais,101.29
2016-02-15,Total,98.28
2016-02-15,Serviços Postais,106.19
2016-03-15,Total,100.48
2016-03-15,Serviços Postais,106.19
2016-04-15,Total,100.93
2016-04-15,Serviços Postais,106.19
2016-05-15,Total,101.33
2016-05-15,Serviços Postais,106.19
2016-06-15,Total,101.5
2016-06-15,Serviços Postais,106.19
2016-07-15,Total,100.87
2016-07-15,Serviços Postais,106.19
2016-08-15,Total,100.83
2016-08-15,Serviços Postais,106.19
2016-09-15,Total,101.49
2016-09-15,Serviços Postais,106.19
2016-10-15,Total,101.69
2016-10-15,Serviços Postais,106.19
2016-11-15,Total,100.71
2016-11-15,Serviços Postais,106.19
2016-12-15,Total,100.74
2016-12-15,Serviços Postais,106.19
2017-01-15,Total,100.05
2017-01-15,Serviços Postais,106.19
2017-02-15,Total,99.85
2017-02-15,Serviços Postais,106.19
2017-03-15,Total,101.86
2017-03-15,Serviços Postais,106.19
2017-04-15,Total,103.35
2017-04-15,Serviços Postais,113.92
2017-05-15,Total,103.08
2017-05-15,Serviços Postais,113.92
2017-06-15,Total,102.53
2017-06-15,Serviços Postais,113.92
2017-07-15,Total,101.89
2017-07-15,Serviços Postais,113.92
2017-08-15,Total,102.12
2017-08-15,Serviços Postais,113.92
2017-09-15,Total,103.15
2017-09-15,Serviços Postais,113.92
2017-10-15,Total,103.64
2017-10-15,Serviços Postais,113.92
2017-11-15,Total,102.53
2017-11-15,Serviços Postais,113.92
2017-12-15,Total,102.37
2017-12-15,Serviços Postais,111.73
2018-01-15,Total,101.15
2018-01-15,Serviços Postais,113.37
2018-02-15,Total,100.51
2018-02-15,Serviços Postais,113.37
2018-03-15,Total,102.69
2018-03-15,Serviços Postais,113.37
2018-04-15,Total,103.68
2018-04-15,Serviços Postais,119.2
2018-05-15,Total,104.55
2018-05-15,Serviços Postais,119.2
2018-06-15,Total,104.57
2018-06-15,Serviços Postais,119.2
2018-07-15,Total,104.16
2018-07-15,Serviços Postais,119.2
2018-08-15,Total,103.46
2018-08-15,Serviços Postais,119.2
2018-09-15,Total,105.03
2018-09-15,Serviços Postais,119.2
2018-10-15,Total,104.49
2018-10-15,Serviços Postais,118.11
2018-11-15,Total,103.43
2018-11-15,Serviços Postais,118.11
2018-12-15,Total,103.02
2018-12-15,Serviços Postais,118.11
2019-01-15,Total,101.73
2019-01-15,Serviços Postais,119.2
2019-02-15,Total,101.45
2019-02-15,Serviços Postais,119.2
2019-03-15,Total,103.53
2019-03-15,Serviços Postais,119.2
2019-04-15,Total,104.6
