Ano,Mes,Origem,Dormidas
2006,9,Não Residente,2870373
2006,10,Não Residente,2403288
2006,11,Não Residente,1396880
2006,12,Não Residente,1164024
2007,1,Não Residente,1164467
2007,2,Não Residente,1352075
2007,3,Não Residente,1889119
2007,4,Não Residente,2229360
2007,5,Não Residente,2590273
2007,6,Não Residente,2690211
2007,7,Não Residente,3159374
2007,8,Não Residente,3611660
2007,9,Não Residente,3034950
2007,10,Não Residente,2466751
2007,11,Não Residente,1498495
2007,12,Não Residente,1180999
2008,1,Não Residente,1206860
2008,2,Não Residente,1531880
2008,3,Não Residente,2101025
2008,4,Não Residente,2155748
2008,5,Não Residente,2691600
2008,6,Não Residente,2632079
2008,7,Não Residente,3094544
2008,8,Não Residente,3427764
2008,9,Não Residente,2918855
2008,10,Não Residente,2369410
2008,11,Não Residente,1293408
2008,12,Não Residente,1005577
2009,1,Não Residente,1043785
2009,2,Não Residente,1191626
2009,3,Não Residente,1608605
2009,4,Não Residente,2108389
2009,5,Não Residente,2204959
2009,6,Não Residente,2328109
2009,7,Não Residente,2792061
2009,8,Não Residente,3067945
2009,9,Não Residente,2699733
2009,10,Não Residente,2162818
2009,11,Não Residente,1215859
2009,12,Não Residente,961764
2010,1,Não Residente,939320
2010,2,Não Residente,1163234
2010,3,Não Residente,1597141
2010,4,Não Residente,1837604
2010,5,Não Residente,2210491
2010,6,Não Residente,2253771
2010,7,Não Residente,2911250
2010,8,Não Residente,3301422
2010,9,Não Residente,2830454
2010,10,Não Residente,2373349
2010,11,Não Residente,1206419
2010,12,Não Residente,983752
2011,1,Não Residente,1007316
2011,2,Não Residente,1182476
2011,3,Não Residente,1721654
2011,4,Não Residente,2325564
2011,5,Não Residente,2604623
2011,6,Não Residente,2655851
2011,7,Não Residente,3338708
2011,8,Não Residente,3624017
2011,9,Não Residente,3082297
2011,10,Não Residente,2516071
2011,11,Não Residente,1230440
2011,12,Não Residente,943980
2012,1,Não Residente,1001561
2012,2,Não Residente,1232518
2012,3,Não Residente,1673721
2012,4,Não Residente,2321764
2012,5,Não Residente,2653748
2012,6,Não Residente,2818150
2012,7,Não Residente,3515161
2012,8,Não Residente,3781935
2012,9,Não Residente,3231876
2012,10,Não Residente,2663561
2012,11,Não Residente,1364027
2012,12,Não Residente,998558
2013,1,Não Residente,1046830
2013,2,Não Residente,1301270
2013,3,Não Residente,1944320
2013,4,Não Residente,2285131
2013,5,Não Residente,3080022
2013,6,Não Residente,3125228
2013,7,Não Residente,3802481
2013,8,Não Residente,4171273
2013,9,Não Residente,3542753
2013,10,Não Residente,2927708
2013,11,Não Residente,1462439
2013,12,Não Residente,1135114
2014,1,Não Residente,1174566
2014,2,Não Residente,1419341
2014,3,Não Residente,1984014
2014,4,Não Residente,2856751
2014,5,Não Residente,3391625
2014,6,Não Residente,3415214
2014,7,Não Residente,4085172
2014,8,Não Residente,4592800
2014,9,Não Residente,3917850
2014,10,Não Residente,3361166
2014,11,Não Residente,1692403
2014,12,Não Residente,1339416
2015,1,Não Residente,1341730
2015,2,Não Residente,1567222
2015,3,Não Residente,2198182
2015,4,Não Residente,2951297
2015,5,Não Residente,3613881
