DepNum,DepNome,Index,Party,Distrito,Custom,Rows,Cols,Row2,Col2
1, JOÃO FERREIRA LOPES ALEIXO,430,CH,Portalegre,8,20,2,22.98,2.32
1, FRANCISCO MANUEL DE FREITAS GOMES,720,CH,Madeira,8,20,3,26.71,12.64
2, RUI PAULO DUQUE SOUSA,306,CH,Lisboa,8,20,4,23.71,9.88
9, IDALINA MARIA MOREIRA COSTA,459,CH,Porto,8,20,5,15.17,-2.58
2, DIOGO VELEZ MOUTA PACHECO DE AMORIM,445,CH,Porto,8,20,6,17.26,8.27
4, JOSÉ ANTÓNIO RIBEIRO DE CARVALHO,449,CH,Porto,8,20,7,14.68,4.89
3, MARIA CRISTINA PACHECO RODRIGUES,447,CH,Porto,8,20,8,21.56,6.37
8, RAÚL GABRIEL PALHA DE BESSA MELO,457,CH,Porto,8,20,9,24.84,5.21
1, RUI PEDRO DA SILVA AFONSO,443,CH,Porto,8,20,10,23.32,6.32
6, SÓNIA CRISTINA DE SOUSA MONTEIRO,453,CH,Porto,8,21,1,17.11,-2.64
2, JOSÉ FREDERICO ABECASSIS DOTTI,550,CH,Santarém,8,21,2,21.68,3.33
5, MARCUS VINÍCIUS TEIXEIRA SOARES DOS SANTOS,451,CH,Porto,8,21,3,19.98,13.51
7, PATRÍCIA ISABEL FERREIRINHA DO NASCIMENTO,455,CH,Porto,8,21,4,25.93,6.27
3, CATARINA RITA FERREIRA GIRÃO SALGUEIRO DA COSTA,552,CH,Santarém,8,21,5,26.94,8.03
4, DANIEL MADEIRA CAETANO BATISTA TEIXEIRA,585,CH,Setúbal,8,21,6,18.38,11.73
3, NUNO MIGUEL DA COSTA GABRIEL,583,CH,Setúbal,8,21,7,17.62,10.73
1, PEDRO ALEXANDRE ARRABAÇA DE SILVA OLIVEIRA CORREIA,548,CH,Santarém,8,21,8,21.3,-2.43
6, RICARDO LOPES REIS,589,CH,Setúbal,8,21,9,20.21,0.89
5, CLÁUDIA SOFIA SEBASTIÃO ESTÊVÃO,587,CH,Setúbal,8,21,10,18.46,11.98
2, PATRÍCIA ALEXANDRA MARTINS DE CARVALHO,581,CH,Setúbal,8,22,1,18.97,6.32
1, MARIA MANUELA PEREIRA TENDER,665,CH,Vila Real,8,22,2,17.32,-2.72
1, EDUARDO ALEXANDRE RIBEIRO GONÇALVES TEIXEIRA,642,CH,Viana do Castelo,8,22,3,14.28,4.33
1, RITA MARIA CID MATIAS,579,CH,Setúbal,8,22,4,26.09,1.89
2, BERNARDO CAPELLE HOMEM CALDEIRA PESSANHA,690,CH,Viseu,8,22,5,19.77,3.03
1, JOÃO JOSÉ RODRIGUES TILLY,688,CH,Viseu,8,22,6,18.34,9.93
