GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
69053,42.16527,-7.15269,870,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
69054,42.21594,-6.8567,1259,ES419,Zamora,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69055,42.26575,-6.56028,1192,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69056,42.31468,-6.26343,979,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69057,42.36274,-5.96616,791,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69058,42.40993,-5.66848,844,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69059,42.45624,-5.37038,832,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69060,42.50167,-5.07189,888,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69061,42.54622,-4.773,965,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69062,42.58989,-4.47371,898,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69063,42.63268,-4.17405,884,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69064,42.67458,-3.87401,939,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69065,42.7156,-3.5736,965,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69066,42.75573,-3.27282,642,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
69067,42.79496,-2.97169,523,ES211,Araba/Álava,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
69068,42.83331,-2.67021,534,ES211,Araba/Álava,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
69069,42.87076,-2.36839,589,ES211,Araba/Álava,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
69070,42.90732,-2.06624,570,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
69071,42.94297,-1.76376,485,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
69072,42.97773,-1.46096,704,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
69073,43.0116,-1.15785,845,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
70047,42.03871,-8.85793,281,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70048,42.11315,-8.68497,66,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70049,42.17224,-8.4,99,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70050,42.22659,-8.10483,274,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70051,42.28008,-7.8092,350,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70052,42.3327,-7.5131,564,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70053,42.38445,-7.21656,515,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70054,42.43534,-6.91957,545,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
70055,42.48535,-6.62214,542,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70056,42.5345,-6.32428,931,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70057,42.58276,-6.02598,956,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70058,42.63015,-5.72727,894,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70059,42.67666,-5.42814,869,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70060,42.72229,-5.1286,910,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70061,42.76703,-4.82866,1122,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70062,42.81089,-4.52833,1073,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70063,42.85386,-4.22761,939,ES414,Palencia,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70064,42.89595,-3.9265,836,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
70065,42.93714,-3.62502,604,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70066,42.97744,-3.32317,667,ES412,Burgos,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
70067,43.01685,-3.02096,355,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
70068,43.05536,-2.71839,397,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
70069,43.09298,-2.41548,300,ES212,Gipuzkoa,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
70070,43.12969,-2.11223,231,ES212,Gipuzkoa,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
70071,43.16551,-1.80865,286,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
70072,43.20042,-1.50474,268,ES220,Navarra,ES22,Comunidad Foral de Navarra,ES2,Noreste (ES),ES,Spain,North of Tagus
71048,42.34575,-8.72318,68,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
71049,42.39041,-8.46849,305,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
